concept_id,concept_code,privacy_rule,vocabulary_id,date_added
1575166,T76.2,assault/homicide,icd10cm,2024-03-08
1576139,Z62.81,assault/homicide,icd10cm,2024-03-08
1595725,T74.51XS,assault/homicide,icd10cm,2024-03-08
1595780,Z04.81,assault/homicide,icd10cm,2024-03-08
1595794,Z62.813,assault/homicide,icd10cm,2024-03-08
1595798,Z91.42,assault/homicide,icd10cm,2024-03-08
2102032,1157F,legal_intervention,cpt4,2024-03-08
2721594,S9989,location,hcpcs,2024-03-08
2721666,T2007,motor vehicle accident,hcpcs,2024-03-08
3005917,21842-0,location,loinc,2024-03-08
3038482,52531-1,location,loinc,2024-03-08
3041797,52532-9,location,loinc,2024-03-08
3043579,45401-7,location,loinc,2024-03-08
3052558,46499-0,location,loinc,2024-03-08
3656374,25711000087100,location,snomed,2024-03-08
3656374,25711000087100,location,snomed,2024-03-08
3656378,25771000087107,location,snomed,2024-03-08
4012613,113173007,location,snomed,2024-03-08
4014465,169886007,perinatal,snomed,2024-03-08
4020158,213015009,assault/homicide,snomed,2024-03-08
4021520,225728007,location,snomed,2024-03-08
4022081,105530003,location,snomed,2024-03-08
4022081,105530003,location,snomed,2024-03-08
4022124,225820007,assault/homicide,snomed,2024-03-08
4022125,225823009,assault/homicide,snomed,2024-03-08
4026163,225818009,assault/homicide,snomed,2024-03-08
4026163,225818009,terrorism,snomed,2024-03-08
4026164,225825002,assault/homicide,snomed,2024-03-08
4041280,118213005,liveborn_infants,snomed,2024-03-08
4041280,118213005,perinatal,snomed,2024-03-08
4045163,12247004,motor vehicle accident,snomed,2024-03-08
4048144,206266009,liveborn_infants,snomed,2024-03-08
4048592,206372007,perinatal,snomed,2024-03-08
4053113,160877008,assault/homicide,snomed,2024-03-08
4053381,160333008,suicide,snomed,2024-03-08
4054939,243069004,assault/homicide,snomed,2024-03-08
4055396,242693000,motor vehicle accident,snomed,2024-03-08
4058280,161472001,assault/homicide,snomed,2024-03-08
4059334,161580006,perinatal,snomed,2024-03-08
4060206,161811009,perinatal,snomed,2024-03-08
4060296,199112006,perinatal,snomed,2024-03-08
4060424,199257008,perinatal,snomed,2024-03-08
4060687,199607009,liveborn_infants,snomed,2024-03-08
4061289,17044007,assault/homicide,snomed,2024-03-08
4061426,169578003,perinatal,snomed,2024-03-08
4061738,20078004,location,snomed,2024-03-08
4062790,199294004,perinatal,snomed,2024-03-08
4062790,199294004,perinatal,snomed,2024-03-08
4066378,200724002,perinatal,snomed,2024-03-08
4071162,21753002,motor vehicle accident,snomed,2024-03-08
4071610,206283000,perinatal,snomed,2024-03-08
4074047,219221007,assault/homicide,snomed,2024-03-08
4074169,219365001,suffocation,snomed,2024-03-08
4075234,225049000,suicide,snomed,2024-03-08
4075529,224680000,location,snomed,2024-03-08
4075529,224680000,location,snomed,2024-03-08
4075631,224709006,location,snomed,2024-03-08
4075631,224709006,location,snomed,2024-03-08
4075635,223686002,location,snomed,2024-03-08
4075636,223687006,location,snomed,2024-03-08
4075638,223694009,location,snomed,2024-03-08
4076658,225048008,suicide,snomed,2024-03-08
4079844,276507005,suffocation,snomed,2024-03-08
4079968,276639007,perinatal,snomed,2024-03-08
4081426,183928007,location,snomed,2024-03-08
4082921,278067008,perinatal,snomed,2024-03-08
4083591,184102003,location,snomed,2024-03-08
4089069,249053001,perinatal,snomed,2024-03-08
4090129,281255004,suffocation,snomed,2024-03-08
4105261,281575007,military_operations,snomed,2024-03-08
4105393,257564005,location,snomed,2024-03-08
4107655,284465006,assault/homicide,snomed,2024-03-08
4111063,285093007,location,snomed,2024-03-08
4111063,285093007,location,snomed,2024-03-08
4111660,284453007,location,snomed,2024-03-08
4111660,284453007,location,snomed,2024-03-08
4113010,284555002,location,snomed,2024-03-08
4113010,284555002,location,snomed,2024-03-08
4113020,284607007,assault/homicide,snomed,2024-03-08
4119716,257557008,location,snomed,2024-03-08
4119716,257557008,location,snomed,2024-03-08
4119859,257656006,location,snomed,2024-03-08
4119859,257656006,location,snomed,2024-03-08
4121313,302768007,military_operations,snomed,2024-03-08
4121550,257418003,motor vehicle accident,snomed,2024-03-08
4121719,257641002,location,snomed,2024-03-08
4121719,257641002,location,snomed,2024-03-08
4126257,289205009,perinatal,snomed,2024-03-08
4129155,289530006,perinatal,snomed,2024-03-08
4129846,237361005,suffocation,snomed,2024-03-08
4132087,127335003,perinatal,snomed,2024-03-08
4133009,127277000,perinatal,snomed,2024-03-08
4140071,33010005,perinatal,snomed,2024-03-08
4145947,267258002,perinatal,snomed,2024-03-08
4147109,309985003,location,snomed,2024-03-08
4147554,310207003,location,snomed,2024-03-08
4147554,310207003,location,snomed,2024-03-08
4149398,268854008,perinatal,snomed,2024-03-08
4149451,310530008,perinatal,snomed,2024-03-08
4150851,311465003,assault/homicide,snomed,2024-03-08
4151405,269795008,suffocation,snomed,2024-03-08
4153697,283545005,assault/homicide,snomed,2024-03-08
4154726,284176003,location,snomed,2024-03-08
4154726,284176003,location,snomed,2024-03-08
4156363,272379006,military_operations,snomed,2024-03-08
4159152,371121002,perinatal,snomed,2024-03-08
4160622,371772001,assault/homicide,snomed,2024-03-08
4161447,371773006,assault/homicide,snomed,2024-03-08
4161694,398070004,location,snomed,2024-03-08
4163494,291838005,assault/homicide,snomed,2024-03-08
4164912,45618002,location,snomed,2024-03-08
4167918,275359008,perinatal,snomed,2024-03-08
4168974,420008001,location,snomed,2024-03-08
4169278,418189009,assault/homicide,snomed,2024-03-08
4171711,42085001,assault/homicide,snomed,2024-03-08
4172624,50084004,assault/homicide,snomed,2024-03-08
4173334,276660001,perinatal,snomed,2024-03-08
4177669,49588008,military_operations,snomed,2024-03-08
4182566,429746005,assault/homicide,snomed,2024-03-08
4193573,313217007,assault/homicide,snomed,2024-03-08
4195901,79993009,location,snomed,2024-03-08
4197467,313214000,assault/homicide,snomed,2024-03-08
4197468,313216003,assault/homicide,snomed,2024-03-08
4199872,301705009,military_operations,snomed,2024-03-08
4202389,318784009,military_operations,snomed,2024-03-08
4208350,313070006,assault/homicide,snomed,2024-03-08
4208970,313215004,assault/homicide,snomed,2024-03-08
4210749,56890008,assault/homicide,snomed,2024-03-08
4213182,80522000,location,snomed,2024-03-08
4214956,417662000,liveborn_infants,snomed,2024-03-08
4215475,71783008,motor vehicle accident,snomed,2024-03-08
4217564,395507008,perinatal,snomed,2024-03-08
4218813,41587001,perinatal,snomed,2024-03-08
4229439,888003,perinatal,snomed,2024-03-08
4230638,88817006,suicide,snomed,2024-03-08
4235695,406138006,assault/homicide,snomed,2024-03-08
4236049,360875003,location,snomed,2024-03-08
4236321,90774003,assault/homicide,snomed,2024-03-08
4239065,91576008,perinatal,snomed,2024-03-08
4251491,73893000,perinatal,snomed,2024-03-08
4263727,46160005,motor vehicle accident,snomed,2024-03-08
4264823,364587008,perinatal,snomed,2024-03-08
4267373,365508006,location,snomed,2024-03-08
4268912,62480006,location,snomed,2024-03-08
4269424,364617005,perinatal,snomed,2024-03-08
4271764,364703007,military_operations,snomed,2024-03-08
4274420,365474007,military_operations,snomed,2024-03-08
4278848,66190008,assault/homicide,snomed,2024-03-08
4279142,65367001,operations_of_war,snomed,2024-03-08
4279142,65367001,assault/homicide,snomed,2024-03-08
4279142,65367001,terrorism,snomed,2024-03-08
4279451,66280005,location,snomed,2024-03-08
4279614,66466001,suffocation,snomed,2024-03-08
4296024,76799001,perinatal,snomed,2024-03-08
4297375,386702006,assault/homicide,snomed,2024-03-08
4299535,77386006,liveborn_infants,snomed,2024-03-08
4300517,78077007,assault/homicide,snomed,2024-03-08
4302066,418506006,assault/homicide,snomed,2024-03-08
4305831,418715001,assault/homicide,snomed,2024-03-08
4306655,419620001,assault/homicide,snomed,2024-03-08
4306655,419620001,suffocation,snomed,2024-03-08
4306655,419620001,suicide,snomed,2024-03-08
4309752,216343002,location,snomed,2024-03-08
4309756,216356009,location,snomed,2024-03-08
4309757,216359002,location,snomed,2024-03-08
4309760,216382000,location,snomed,2024-03-08
4310061,216403008,location,snomed,2024-03-08
4310064,216417004,location,snomed,2024-03-08
4310775,217116006,suffocation,snomed,2024-03-08
4310928,216323008,location,snomed,2024-03-08
4310930,216329007,location,snomed,2024-03-08
4311062,216362004,location,snomed,2024-03-08
4311069,216392008,location,snomed,2024-03-08
4311070,216398007,location,snomed,2024-03-08
4311072,216404002,location,snomed,2024-03-08
4311076,216418009,location,snomed,2024-03-08
4311078,216424003,location,snomed,2024-03-08
4311213,216450004,location,snomed,2024-03-08
4312316,217118007,suffocation,snomed,2024-03-08
4312840,216330002,location,snomed,2024-03-08
4312841,216331003,location,snomed,2024-03-08
4312843,216340004,location,snomed,2024-03-08
4312846,216355008,location,snomed,2024-03-08
4312966,216391001,location,snomed,2024-03-08
4312969,216409007,location,snomed,2024-03-08
4312970,216420007,location,snomed,2024-03-08
4312972,216427005,location,snomed,2024-03-08
4312974,216429008,location,snomed,2024-03-08
4312978,216437000,location,snomed,2024-03-08
4312979,216445005,location,snomed,2024-03-08
4314870,216312009,motor vehicle accident,snomed,2024-03-08
4314873,216315006,location,snomed,2024-03-08
4314989,216333000,location,snomed,2024-03-08
4314991,216339001,location,snomed,2024-03-08
4314998,216357000,location,snomed,2024-03-08
4314999,216358005,location,snomed,2024-03-08
4315001,216366001,location,snomed,2024-03-08
4315006,216378002,location,snomed,2024-03-08
4315007,216383005,location,snomed,2024-03-08
4315085,216386002,location,snomed,2024-03-08
4315088,216395005,location,snomed,2024-03-08
4315095,216416008,location,snomed,2024-03-08
4315096,216423009,location,snomed,2024-03-08
4315099,216438005,location,snomed,2024-03-08
4315100,216440000,location,snomed,2024-03-08
4316720,217120005,suffocation,snomed,2024-03-08
4316721,217121009,suffocation,snomed,2024-03-08
4318126,95921002,assault/homicide,snomed,2024-03-08
4319155,95877004,operations_of_war,snomed,2024-03-08
4319561,21987001,liveborn_infants,snomed,2024-03-08
4320042,95934001,assault/homicide,snomed,2024-03-08
4320813,95821001,perinatal,snomed,2024-03-08
4323285,70591005,perinatal,snomed,2024-03-08
4323285,70591005,perinatal,snomed,2024-03-08
4326265,75148009,military_operations,snomed,2024-03-08
4328757,223668000,location,snomed,2024-03-08
4329097,431268006,perinatal,snomed,2024-03-08
4330180,224780008,location,snomed,2024-03-08
4330180,224780008,location,snomed,2024-03-08
4330840,224858000,location,snomed,2024-03-08
4330840,224858000,location,snomed,2024-03-08
4331312,22674006,motor vehicle accident,snomed,2024-03-08
4345685,240302002,perinatal,snomed,2024-03-08
21492869,80431-0,location,loinc,2024-03-08
21492871,80433-6,location,loinc,2024-03-08
35225252,Z65.4,assault/homicide,icd10cm,2024-03-08
35225252,Z65.4,terrorism,icd10cm,2024-03-08
35225253,Z65.5,operations_of_war,icd10cm,2024-03-08
35625043,768011006,suffocation,snomed,2024-03-08
35625043,768011006,assault/homicide,snomed,2024-03-08
36305281,87721-7,location,loinc,2024-03-08
36305361,87720-9,location,loinc,2024-03-08
36684960,459521000124102,assault/homicide,snomed,2024-03-08
36684961,459531000124104,assault/homicide,snomed,2024-03-08
36684962,459541000124109,assault/homicide,snomed,2024-03-08
36712668,10211000132109,perinatal,snomed,2024-03-08
36713087,288391000119107,assault/homicide,snomed,2024-03-08
36713088,288411000119107,assault/homicide,snomed,2024-03-08
36715173,720684005,assault/homicide,snomed,2024-03-08
36715279,720824009,assault/homicide,snomed,2024-03-08
36715950,721744003,perinatal,snomed,2024-03-08
36717004,134251000119105,perinatal,snomed,2024-03-08
36717284,288371000119106,assault/homicide,snomed,2024-03-08
37016099,101071000119104,perinatal,snomed,2024-03-08
37016211,15635291000119101,perinatal,snomed,2024-03-08
37016212,15635331000119107,perinatal,snomed,2024-03-08
37016213,15635451000119107,perinatal,snomed,2024-03-08
37016216,15750001000119103,perinatal,snomed,2024-03-08
37016218,15750081000119106,perinatal,snomed,2024-03-08
37016220,15887011000119107,perinatal,snomed,2024-03-08
37017129,713346006,terrorism,snomed,2024-03-08
37018683,15635411000119106,perinatal,snomed,2024-03-08
37018684,15887131000119101,perinatal,snomed,2024-03-08
37018896,114961000119106,perinatal,snomed,2024-03-08
37020140,91390-5,assault/homicide,loinc,2024-03-08
37110280,724484007,perinatal,snomed,2024-03-08
37110290,724497009,perinatal,snomed,2024-03-08
37110290,724497009,liveborn_infants,snomed,2024-03-08
37118028,726565008,perinatal,snomed,2024-03-08
37204043,787209003,assault/homicide,snomed,2024-03-08
37206226,785867009,perinatal,snomed,2024-03-08
37206227,785868004,perinatal,snomed,2024-03-08
37206229,785870008,perinatal,snomed,2024-03-08
37207733,293611000119101,assault/homicide,snomed,2024-03-08
37395583,288001000119103,military_operations,snomed,2024-03-08
37402948,P28.30,perinatal,icd10cm,2024-03-08
37402956,P28.43,perinatal,icd10cm,2024-03-08
37402957,P28.49,perinatal,icd10cm,2024-03-08
37403780,Z87.68,perinatal,icd10cm,2024-03-08
40213244,53,military_operations,cvx,2024-03-08
40479849,444557007,assault/homicide,snomed,2024-03-08
40481828,442084003,assault/homicide,snomed,2024-03-08
40482897,445272000,assault/homicide,snomed,2024-03-08
40483663,443846001,location,snomed,2024-03-08
40483738,443913008,assault/homicide,snomed,2024-03-08
40485048,444135009,perinatal,snomed,2024-03-08
40491865,447259000,perinatal,snomed,2024-03-08
40758409,55280-2,military_operations,loinc,2024-03-08
40759918,56799-0,location,loinc,2024-03-08
40766229,63501-1,location,loinc,2024-03-08
40766239,63512-8,location,loinc,2024-03-08
40771514,68989-3,location,loinc,2024-03-08
40771522,68997-6,location,loinc,2024-03-08
42538171,739684008,perinatal,snomed,2024-03-08
42539560,762287001,perinatal,snomed,2024-03-08
43020429,149141000119102,assault/homicide,snomed,2024-03-08
43020442,207871000119100,assault/homicide,snomed,2024-03-08
43020449,237451000119100,assault/homicide,snomed,2024-03-08
43020450,237461000119103,assault/homicide,snomed,2024-03-08
43021802,473453008,assault/homicide,snomed,2024-03-08
43530894,609429008,perinatal,snomed,2024-03-08
